,high,val,open,low,from_date,name,industry,start_quote,info,date,to_date,country,vol,symbol,indexes
1196,46.6632,46.5151,46.0245,45.5275,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-24,2025-03-06,PL,1013472.9830641,PKN,WIG
1197,46.6632,46.5151,46.0245,45.5275,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-24,2025-03-06,PL,1013472.9830641,PKN,WIG20
1198,47.7244,47.0538,46.6493,46.448,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-25,2025-03-06,PL,1933747.433052,PKN,WIG
1199,47.7244,47.0538,46.6493,46.448,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-25,2025-03-06,PL,1933747.433052,PKN,WIG20
1200,47.5901,46.5822,47.4092,46.2194,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-27,2025-03-06,PL,1284766.3018146,PKN,WIG
1201,47.5901,46.5822,47.4092,46.2194,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-27,2025-03-06,PL,1284766.3018146,PKN,WIG20
1202,46.7173,46.3816,46.5822,46.2464,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-30,2025-03-06,PL,424191.81896649,PKN,WIG
1203,46.7173,46.3816,46.5822,46.2464,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-30,2025-03-06,PL,424191.81896649,PKN,WIG20
1204,47.2888,46.5011,46.4954,46.4954,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-31,2025-03-06,PL,2589297.8444735,PKN,WIG
1205,47.2888,46.5011,46.4954,46.4954,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-05-31,2025-03-06,PL,2589297.8444735,PKN,WIG20
1206,47.2487,46.3816,46.7173,46.1727,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-01,2025-03-06,PL,1684317.518997,PKN,WIG
1207,47.2487,46.3816,46.7173,46.1727,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-01,2025-03-06,PL,1684317.518997,PKN,WIG20
1208,46.5822,46.1793,46.3816,45.8699,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-02,2025-03-06,PL,1182476.539571,PKN,WIG
1209,46.5822,46.1793,46.3816,45.8699,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-02,2025-03-06,PL,1182476.539571,PKN,WIG20
1210,46.9383,46.6771,46.3136,45.8969,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-03,2025-03-06,PL,1317133.9598778,PKN,WIG
1211,46.9383,46.6771,46.3136,45.8969,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-03,2025-03-06,PL,1317133.9598778,PKN,WIG20
1212,46.8188,45.6421,46.7836,45.4407,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-06,2025-03-06,PL,1071242.1020961,PKN,WIG
1213,46.8188,45.6421,46.7836,45.4407,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-06,2025-03-06,PL,1071242.1020961,PKN,WIG20
1214,46.8909,46.2596,45.7085,45.7085,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-07,2025-03-06,PL,1324723.0112005,PKN,WIG
1215,46.8909,46.2596,45.7085,45.7085,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-07,2025-03-06,PL,1324723.0112005,PKN,WIG20
1216,47.2143,46.6018,46.2538,45.9173,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-08,2025-03-06,PL,1346643.8161877,PKN,WIG
1217,47.2143,46.6018,46.2538,45.9173,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-08,2025-03-06,PL,1346643.8161877,PKN,WIG20
1218,46.7173,45.5275,46.3816,45.4735,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-09,2025-03-06,PL,782264.60839352,PKN,WIG
1219,46.7173,45.5275,46.3816,45.4735,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-09,2025-03-06,PL,782264.60839352,PKN,WIG20
1220,45.8027,45.5873,45.7085,44.8144,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-10,2025-03-06,PL,624700.80787943,PKN,WIG
1221,45.8027,45.5873,45.7085,44.8144,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-10,2025-03-06,PL,624700.80787943,PKN,WIG20
1222,46.448,46.2129,45.0436,44.902,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-13,2025-03-06,PL,836119.51604976,PKN,WIG
1223,46.448,46.2129,45.0436,44.902,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-13,2025-03-06,PL,836119.51604976,PKN,WIG20
1224,46.0844,45.5128,45.991,45.0436,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-14,2025-03-06,PL,1302958.5304118,PKN,WIG
1225,46.0844,45.5128,45.991,45.0436,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-14,2025-03-06,PL,1302958.5304118,PKN,WIG20
1226,45.5668,45.3932,45.5668,44.9421,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-15,2025-03-06,PL,995394.33376744,PKN,WIG
1227,45.5668,45.3932,45.5668,44.9421,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-15,2025-03-06,PL,995394.33376744,PKN,WIG20
1228,46.045,45.5873,44.8349,44.7816,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-16,2025-03-06,PL,1905618.8475895,PKN,WIG
